date,RRI
2018-03-05,
2018-03-06,
2018-03-07,
2018-03-08,0.40462507872328746
2018-03-09,0.4697993904519282
2018-03-10,1.80985887228303
2018-03-11,3.2886349888850686
2018-03-12,0.5172137594824422
2018-03-13,1.1986472875126886
2018-03-14,0.6289134036742816
2018-03-15,0.7271500871030634
2018-03-16,0.9382771716111649
2018-03-17,0.1951925328627524
2018-03-18,2.826281100290008
2018-03-19,1.3174023878677132
2018-03-20,1.172620744114955
2018-03-21,0.7284266578420939
2018-03-22,0.22397024808018529
2018-03-23,0.7035279566511998
2018-03-24,2.037463545918128
2018-03-25,2.4241454885759826
2018-03-26,1.2092136192339897
2018-03-27,0.7863051881917082
2018-03-28,0.8437599678006835
2018-03-29,0.05403222942438335
2018-03-30,1.4690145271728217
2018-03-31,1.8552777421339794
2018-04-01,3.8607086192548943
2018-04-02,0.5172137594824422
2018-04-03,0.40968579549506723
2018-04-04,0.3058780709141562
2018-04-05,0.35869588449198964
2018-04-06,0.6132005413296437
2018-04-07,2.151776207116022
2018-04-08,3.1891217347172587
2018-04-09,0.5493641954443507
2018-04-10,0.8291724361409181
2018-04-11,0.19156540971626002
2018-04-12,-0.15928336156097567
2018-04-13,0.6917904959031984
2018-04-14,2.66924512878864
2018-04-15,3.6815847617528363
2018-04-16,0.4743465115332324
2018-04-17,0.5852373823346957
2018-04-18,0.882544620707113
2018-04-19,0.47709114073266945
2018-04-20,0.538693181798876
2018-04-21,1.996637595490307
2018-04-22,2.722174926699068
2018-04-23,0.7871753566864026
2018-04-24,0.9827800746255921
2018-04-25,0.8381463996168603
2018-04-26,0.13976672532280632
2018-04-27,0.7295545000489345
2018-04-28,2.01909186822561
2018-04-29,2.8768032139444353
2018-04-30,0.6447948545693793
2018-05-01,0.6041193844075599
2018-05-02,0.9223499223742371
2018-05-03,0.8021677710141828
2018-05-04,1.4725867978352547
2018-05-05,1.0239593265474944
2018-05-06,2.9104846230473855
2018-05-07,0.45189223879793183
2018-05-08,0.5903406261381705
2018-05-09,0.9325564099811923
2018-05-10,0.3000085807519981
2018-05-11,0.44479349581488914
2018-05-12,2.4390888332518035
2018-05-13,3.0018326871296344
2018-05-14,0.9596649972439419
2018-05-15,0.8531576820172626
2018-05-16,0.3533382382864969
2018-05-17,0.07444520463829374
2018-05-18,1.1051532439848777
2018-05-19,1.922130235959535
2018-05-20,3.300882774013415
2018-05-21,1.2510602184225073
2018-05-22,0.5046061302397509
2018-05-23,0.18391054401104556
2018-05-24,0.7026545168463738
2018-05-25,-0.052262450643818514
2018-05-26,1.1826702088356478
2018-05-27,0.6630160519958994
2018-05-28,6.403295162413385
2018-05-29,0.5367565662016593
2018-05-30,0.1502291349080931
2018-05-31,-0.29656061987452187
2018-06-01,0.2575044482272648
2018-06-02,2.114522527350635
2018-06-03,2.368009806737729
2018-06-04,0.9703818092312444
2018-06-05,0.850606060115523
2018-06-06,0.745267362393568
2018-06-07,0.6133477502855178
2018-06-08,0.8367226199219624
2018-06-09,1.5623515478143712
2018-06-10,2.6093932386422134
2018-06-11,1.1520572886350444
2018-06-12,0.8204969216750058
2018-06-13,0.64473345946506
2018-06-14,0.9460792462722489
2018-06-15,0.7938553719727515
2018-06-16,1.3316849278971887
2018-06-17,2.341472938959648
2018-06-18,0.8586207699350856
2018-06-19,0.9843110477666372
2018-06-20,0.5993145896141117
2018-06-21,2.66230013738173
2018-06-22,2.399846196927118
2018-06-23,2.312528386925563
2018-06-24,-5.181218751746526
2018-06-25,2.308962658883391
2018-06-26,2.298906651542436
2018-06-27,1.960349712001559
2018-06-28,0.8440143702026992
2018-06-29,0.7826282356050984
2018-06-30,1.1622572336217363
2018-07-01,1.8684022383772836
2018-07-02,0.11252652586668077
2018-07-03,-0.4149984031468956
2018-07-04,5.3504345706516565
2018-07-05,1.2201234385189885
2018-07-06,0.2156578490387484
2018-07-07,1.0851982521892267
2018-07-08,1.8469686144026787
2018-07-09,1.1392991791263507
2018-07-10,0.6852609608828542
2018-07-11,0.5493028003400346
2018-07-12,1.042020229777627
2018-07-13,0.7668081798143211
2018-07-14,1.4567144010823874
2018-07-15,2.1689832984021074
2018-07-16,1.359759311436577
2018-07-17,0.7934497295165754
2018-07-18,0.4850019284162155
2018-07-19,0.848607289625829
2018-07-20,1.0270736137916703
2018-07-21,1.9501980768786598
2018-07-22,2.538458149773881
2018-07-23,0.4411754268106294
2018-07-24,0.7551754009904954
2018-07-25,0.804975314894254
2018-07-26,0.8470763164847839
2018-07-27,1.3598051097784059
2018-07-28,1.0887705228516609
2018-07-29,2.3986292695585965
2018-07-30,0.7795204909811859
2018-07-31,1.703358099676614
2018-08-01,0.8942820814551133
2018-08-02,0.6582562957561189
2018-08-03,0.1988171444872766
2018-08-04,1.3122926014439773
2018-08-05,1.7893019594233806
2018-08-06,1.3475115263082338
2018-08-07,2.0049598084621345
2018-08-08,0.827939912009904
2018-08-09,0.9945600624052853
2018-08-10,0.37130678504481374
2018-08-11,1.641451826768272
2018-08-12,1.5902754510877593
2018-08-13,1.146443720451219
2018-08-14,0.9873729940487208
2018-08-15,1.5607657221892735
2018-08-16,1.901916810663583
2018-08-17,1.5925130272169785
2018-08-18,-1.0474473332840173
2018-08-19,-0.1866740412831014
2018-08-20,2.4222546713205926
2018-08-21,2.135092525450811
2018-08-22,1.377048945264081
2018-08-23,0.6929583536197659
2018-08-24,1.1082151902669635
2018-08-25,1.7715845437569477
2018-08-26,2.344024560861385
2018-08-27,0.6519393958942499
2018-08-28,0.6709718782331175
2018-08-29,0.22269519691747175
